  Obs   pos                               mx_index_pos_desc
-----  ----  ----------------------------------------------
    1  UNK   UNKNOWN
    2  11    OFFICE
    3  12    HOME HEALTH
    4  13    ASSISTED LIVING FACILITY
    5  19    OFF CAMPUS-OUTPATIENT HOSPITAL
    6  20    URGENT CARE FACILITY
    7  21    INPATIENT HOSPITAL
    8  22    OUTPATIENT HOSPITAL
    9  23    EMERGENCY ROOM
   10  24    AMBULATORY SURGICAL CENTER
   11  31    SKILLED NURSING FACILITY
   12  32    NURSING FACILITY
   13  49    INDEPENDENT CLINIC
   14  50    FEDERALLY QUALIFIED HEALTH CENTER
   15  51    INPATIENT PSYCHIATRIC FACILITY
   16  55    RESIDENTIAL SUBSTANCE ABUSE TREATMENT FACILITY
   17  65    END-STAGE RENAL DISEASE TREATMENT FACILITY
   18  72    RURAL HEALTH CLINIC
   19  81    INDEPENDENT LABORATORY
   20  99    OTHER UNLISTED FACILITY

